SYMBOL,CLIENT_LIMIT,EXCHANGE
360ONE,5108000,BSE
360ONE,5108000,NSE
360ONE,5108000,MSEI
ABB,794625,BSE
ABB,794625,MSEI
ABB,794625,NSE
ABCAPITAL,12369000,NSE
ABCAPITAL,12369000,MSEI
ABCAPITAL,12369000,BSE
ADANIENSOL,4913325,MSEI
ADANIENSOL,4913325,NSE
ADANIENSOL,4913325,BSE
ADANIENT,4911864,BSE
ADANIENT,4911864,MSEI
ADANIENT,4911864,NSE
ADANIGREEN,9281400,BSE
ADANIGREEN,9281400,NSE
ADANIGREEN,9281400,MSEI
ADANIPORTS,11051350,BSE
ADANIPORTS,11051350,MSEI
ADANIPORTS,11051350,NSE
ADANIPOWER,72434200,BSE
ADANIPOWER,72434200,MSEI
ADANIPOWER,72434200,NSE
ALKEM,724250,BSE
ALKEM,724250,MSEI
ALKEM,724250,NSE
AMBER,326300,BSE
AMBER,326300,MSEI
AMBER,326300,NSE
AMBUJACEM,12170400,BSE
AMBUJACEM,12170400,MSEI
AMBUJACEM,12170400,NSE
ANGELONE,9727500,MSEI
ANGELONE,9727500,BSE
ANGELONE,9727500,NSE
APLAPOLLO,2988300,MSEI
APLAPOLLO,2988300,BSE
APLAPOLLO,2988300,NSE
APOLLOHOSP,1552375,BSE
APOLLOHOSP,1552375,MSEI
APOLLOHOSP,1552375,NSE
ASHOKLEY,42375000,BSE
ASHOKLEY,42375000,MSEI
ASHOKLEY,42375000,NSE
ASIANPAINT,4538500,BSE
ASIANPAINT,4538500,MSEI
ASIANPAINT,4538500,NSE
ASTRAL,1844500,MSEI
ASTRAL,1844500,BSE
ASTRAL,1844500,NSE
AUBANK,7812000,MSEI
AUBANK,7812000,BSE
AUBANK,7812000,NSE
AUROPHARMA,4197600,BSE
AUROPHARMA,4197600,MSEI
AUROPHARMA,4197600,NSE
AXISBANK,30680625,BSE
AXISBANK,30680625,MSEI
AXISBANK,30680625,NSE
BAJAJ-AUTO,1291275,MSEI
BAJAJ-AUTO,1291275,BSE
BAJAJ-AUTO,1291275,NSE
BAJAJFINSV,6588300,MSEI
BAJAJFINSV,6588300,BSE
BAJAJFINSV,6588300,NSE
BAJAJHLDNG,540150,BSE
BAJAJHLDNG,540150,MSEI
BAJAJHLDNG,540150,NSE
BAJFINANCE,36816750,BSE
BAJFINANCE,36816750,MSEI
BAJFINANCE,36816750,NSE
BANDHANBNK,14742000,BSE
BANDHANBNK,14742000,NSE
BANDHANBNK,14742000,MSEI
BANKBARODA,27945450,BSE
BANKBARODA,27945450,MSEI
BANKBARODA,27945450,NSE
BANKEX,3537,BSE
BANKINDIA,18174000,BSE
